time ms, leafs, cost Dimensions(width=800, height=550, doorX=300, doorHeight=350, doorWidth=250)
3381,1,99
7157,49,65
46276,319,30
120718,1633,19
122803,1722,17
126015,1972,16
194848,3249,15
228247,3751,1
228254,,1
